ICD 10 CODE,DESCRIPTION,GROUP,
K52.0,Gastroenteritis and colitis due to radiation,ACUTE GASTROENTERITIS,
K52.1,Toxic gastroenteritis and colitis,ACUTE GASTROENTERITIS,
K52.2,Allergic and dietetic gastroenteritis and colitis; Food hypersensitivity gastroenteritis or colitis,ACUTE GASTROENTERITIS,
K52.8,Other specified noninfective gastroenteritis and colitis; Eosinophilic gastritis or gastroenteritis,ACUTE GASTROENTERITIS,
K52.9,"Noninfective gastroenteritis and colitis, unspecified; Diarrhoea specified as noninfective, or NOS in countries where the conditions can be presumed to be of noninfectious origin; Enteritis specified as noninfective, or NOS in countries where the conditions can be presumed to be of noninfectious origin; Ileitis specified as noninfective, or NOS in countries where the conditions can be presumed to be noninfectious origin; Jejunitis specified as noninfective, or NOS in countries where the conditions can be presumed to be noninfectious origin; Sigmoiditis pecified as noninfective, or NOS in countries where the conditions can be presumed to be noninfectious origin",ACUTE GASTROENTERITIS,
K58.0,Irritable bowel syndrome with diarrhoea,ACUTE GASTROENTERITIS,
N17.0,Acute renal failure with tubular necrosis; Tubular necrosis NOS; Acute Tubular necrosis ; Renal Tubular necrosis,ACUTE RENAL FAILURE,
N17.1,Acute renal failure with acute cortical necrosis; Cortical necrosis NOS; Acute Cortical necrosis ; Renal Cortical necrosis,ACUTE RENAL FAILURE,
N17.2,"Acute renal failure with medullary necrosis; Medullary papillary necrosis, NOS; Acute medullary papillary necrosis;  Renal medullary papillary necrosis",ACUTE RENAL FAILURE,
N17.8,Other acute renal failure,ACUTE RENAL FAILURE,
N17.9,"Acute renal failure, unspecified;",ACUTE RENAL FAILURE,
O08.4,Renal failure following abortion and ectopic and molar pregnancy; Oliguria Acute renal failure; Oliguria renal shutdown; Oliguria renal tubular necrosis; Oliguria Uraemia,ACUTE RENAL FAILURE,
J80,Adult respiratory distress syndrome; Adult hyaline membrane disease,ADULT RESPIRATORY DISTRESS SYNDROME,
T78.1,"Other adverse food reactions, not elsewhere classified",ALLERGIC REACTIONS,
T78.3,Angioneurotic oedema; Giant urticaria; Quinke's oedema,ALLERGIC REACTIONS,
T78.4,"Allergy, unspecified; Allergic reaction NOS; Hypersensitivity NOS; Idiosyncracy NOS",ALLERGIC REACTIONS,
T78.8,"Other adverse effects, not elsewhere classified",ALLERGIC REACTIONS,
T78.9,"Adverse effect, unspecified",ALLERGIC REACTIONS,
T88.7,Unspecified adverse effect of drug or medicament; Adverse effect of correct drug or medicament properly administered; Allergic reactiion to correct drug or medicament properly administered; Hypersensitivity to correct drug or medicament properly administered; Idiosyncracy to correct drug or medicament properly administered; Drug: hypersensitivity NOS; reaction NOS,ALLERGIC REACTIONS,
A06.4+ K77.0*,Amoebic liver abscess; Hepatic amoebiasis,"AMOEBIASIS, HEPATIC",
A06.0,Acute amoebic dysentery; Acute amoebiasis; Intestinal amoebiasis NOS,"AMOEBIASIS, NONHEPATIC",
A06.1,Chronic intestinal amoebiasis,"AMOEBIASIS, NONHEPATIC",
A06.2,Amoebic nondysenteric colitis,"AMOEBIASIS, NONHEPATIC",
A06.3,Amoeboma of intestine; Amoeboma NOS,"AMOEBIASIS, NONHEPATIC",
A06.7,Cutaneous amoebiasis,"AMOEBIASIS, NONHEPATIC",
A06.8,"Amoebic infection of other sites
Amoebic Appendicitis; Amoebic balanitis (N51.2*)","AMOEBIASIS, NONHEPATIC",
E85.8,Other amyloidosis; Localized amyloidosis,AMYLOIDOSIS,
T78.0,Anaphylactic shock due to adverse food reaction,ANAPHYLACTIC SHOCK,
T78.2,"Anaphylactic shock, unspecified; Allergic shock NOS; Anaphylactic reaction NOS; Anaphylaxis NOS",ANAPHYLACTIC SHOCK,
T88.6,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,ANAPHYLACTIC SHOCK,
D50.0,Iron deficiency anaemia secondary to blood loss (chronic); Posthaemorrhagic anaemia (chronic),ANEMIA,
D50.1,Sideropenic dysphagia; Kelly-Paterson syndrome;  Plummer-Vinson syndrome,ANEMIA,
D50.8,Other iron deficiency anaemias,ANEMIA,
D50.9,"Iron deficiency anaemia, unspecified",ANEMIA,
D51.0,"Vitamin B12 deficiency anaemia due to intrinsic factor deficiency;  Addison Anaemia; Biermer  Anaemia; Congenital Pernicious  Anaemia; Congenital intrinsic factor deficiency
Pernicious anemia",ANEMIA,
D51.8,Other vitamin B12 deficiency anaemias,ANEMIA,
D51.9,"Vitamin B12 deficiency anaemia, unspecified",ANEMIA,
D52.1,"Drug-induced folate deficiency anaemia
Use additional external cause code (Chapter XX), if desired to identify drug",ANEMIA,
D52.9,"Folate deficiency anaemia, unspecified; Folic acid deficiency anaemia NOS",ANEMIA,
D53.0,Protein deficiency anaemia; Amino-acid  deficiency anaemia; Orotaciduric anaemia,ANEMIA,
D53.1,"Other megaloblastic anaemias, not elsewhere classified; Megaloblastic anaemia NOS",ANEMIA,
D53.2,Scorbutic anaemia,ANEMIA,
D53.8,Other specified nutritional anaemias; Anaemia associated with deficiency of copper;  Anaemia associated with deficiency of molybdenum; Anaemia associated with deficiency of  zinc,ANEMIA,
D53.9,"Nutritional anaemia, unspecified; Simple chronic anaemia",ANEMIA,
D55.0,"Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency; Favism;  
G6PD deficiency anaemia",ANEMIA,
D55.1,"Anaemia due to other disorders of glutathione metabolism; Anaemia due to enzyme deficiencies, except G6PD, related to the hexose monophosphate [HMP] shunt pathway;  Anaemia due to haemolytic nonspherocytic hereditary, type I",ANEMIA,
D55.2,"Anaemia due to disorders of glycolytic enzymes;   Haemolytic nonspherocytic hereditary Anaemia, type II;  Hexokinase deficiency Anaemia; Pyruvate kinase [PK] deficiency Anaemia; Triose-phosphate isomerase deficiency Anaemia",ANEMIA,
D55.8,Other anaemias due to enzyme disorders,ANEMIA,
D55.9,"Anaemia due to enzyme disorder, unspecified",ANEMIA,
D56.9,"Thalassaemia, unspecified
Mediterranean anaemia;  Mediterranean anaemia with other haemoglobinopathy; Thalassaemia minor with other haemoglobinopathy; Thalassaemia mixed with other haemoglobinopathy;",ANEMIA,
D57.0,Sickle-cell anaemia with crisis; Hb-SS disease with crisis,ANEMIA,
D57.1,Sickle-cell anaemia without crisis; Sickle-cell anaemia NOS; Sickle-cell  disease NOS ; Sickle-cell disorder NOS,ANEMIA,
D57.3,Sickle-cell trait; Hb-S trait ; Heterozygous Haemoglobin S,ANEMIA,
D57.8,Other sickle-cell disorders,ANEMIA,
D58.0,Hereditary spherocytosis; Acholuric (familial) jaundice; Congenital (spherocytic) haemolytic icterus; Minkowski-Chauffard syndrome,ANEMIA,
D58.1,Hereditary elliptocytosis; Congenital Elliptocytosis; Congenital Ovalocytosis; Hereditary Ovalocytosis,ANEMIA,
D58.2,Other haemoglobinopathies; Abnormal haemoglobin NOS; Congenital Heinz body anaemia;  Hb-C Disease;  Hb-C Disease;  Hb-D Disease;  Hb-E Disease; Haemoglobinopathy NOS;  Unstable haemoglobin haemolytic disease,ANEMIA,
D58.8,Other specified hereditary haemolytic anaemias; Stomatocytosis,ANEMIA,
D58.9,"Hereditary haemolytic anaemia, unspecified; Acquired haemolytic anaemia",ANEMIA,
D59.0,Drug-induced autoimmune haemolytic anaemia,ANEMIA,
D59.1,"Other autoimmune haemolytic anaemias; Autoimmune haemolytic disease,  cold type; (Autoimmune haemolytic disease, warm type; Chronic cold haemagglutinin disease; Cold agglutinin disease;  Cold agglutinin haemoglobinuria;  Secondary symptomatic Haemolytic anaemia, cold type; Secondary symptomatic Haemolytic anaemia, warm type;",ANEMIA,
D59.2,Drug-induced nonautoimmune haemolytic anaemia; Drug-induced enzyme deficiency anaemia,ANEMIA,
D59.4,Other nonautoimmune haemolytic anaemias; Mechanical Haemolytic anaemia; Microangiopathic Haemolytic anaemia; Toxic Haemolytic anaemia,ANEMIA,
D59.5,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],ANEMIA,
D59.6,Haemoglobinuria due to haemolysis from other external causes; Haemoglobinuria from exertion;  Haemoglobinuria march; Haemoglobinuria paroxysmal cold,ANEMIA,
D59.8,Other acquired haemolytic anaemias,ANEMIA,
D59.9,"Acquired haemolytic anaemia, unspecified; Chronic Idiopathic haemolytic anaemia",ANEMIA,
D60.1,Transient acquired pure red cell aplasia,ANEMIA,
D61.0,Constitutional aplastic anaemia;  Congenital Pure red cell  Aplasia;  Pure red cell  Aplasia of infants;  Primary Pure red cell  Aplasia; Blackfan-Diamond syndrome; Familial hypoplastic anaemia; Fanconi's anaemia; Pancytopenia with malformations,ANEMIA,
D61.1,Drug-induced aplastic anaemia,ANEMIA,
D61.2,Aplastic anaemia due to other external agents,ANEMIA,
D61.3,Idiopathic aplastic anaemia,ANEMIA,
D61.8,Other specified aplastic anaemias,ANEMIA,
D61.9,"Aplastic anaemia, unspecified; Hypoplastic anaemia NOS; Medullary hypoplasia; Panmyelophthisis",ANEMIA,
D62,Acute posthaemorrhagic anaemia,ANEMIA,
D63.0*,Anaemia in neoplastic disease,ANEMIA,
D63.8*,Anaemia in other chronic diseases classified elsewhere,ANEMIA,
D64.0,Hereditary sideroblastic anaemia; Sex-linked hypochromic sideroblastic anaemia,ANEMIA,
D64.1,Secondary sideroblastic anaemia due to disease,ANEMIA,
D64.2,Secondary sideroblastic anaemia due to drugs and toxins,ANEMIA,
D64.3,Other sideroblastic anaemias; Sideroblastic anaemia NOS;   pyridoxine-responsive NEC Sideroblastic anaemia,ANEMIA,
D64.8,Other specified anaemias; Infantile pseudoleukaemia; Leukoerythroblastic anaemia,ANEMIA,
D64.9,"Anaemia, unspecified
Severe anemia",ANEMIA,
M00.16,"Pneumococcal arthritis and polyarthritis, Lower leg",ARTHRITIS INFECTIOUS,
M00.19,"Pneumococcal arthritis and polyarthritis,  Site unspecified",ARTHRITIS INFECTIOUS,
M00.29,"Other streptococcal arthritis and polyarthritis, Site unspecified",ARTHRITIS INFECTIOUS,
M00.82,Arthritis and polyarthritis due to other specified bacterial agents upper arm,ARTHRITIS INFECTIOUS,
M00.90,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 multiple sites",ARTHRITIS INFECTIOUS,
M00.91,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 shoulder region",ARTHRITIS INFECTIOUS,
M00.93,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 forearm",ARTHRITIS INFECTIOUS,
M00.94,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 hand",ARTHRITIS INFECTIOUS,
M00.95,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 pelvic region and thigh",ARTHRITIS INFECTIOUS,
M00.96,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 lower leg",ARTHRITIS INFECTIOUS,
M00.97,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 ankle and foot",ARTHRITIS INFECTIOUS,
M00.98,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 other sites",ARTHRITIS INFECTIOUS,
M00.99,"Pyogenic arthritis, unspecified; Infective arthritis NOS 
 site unspecified",ARTHRITIS INFECTIOUS,
M02.39,"Reiter's disease, site unspecified",ARTHRITIS INFECTIOUS,
M06.19,"Adult-onset Still's disease, site unspecified",ARTHRITIS INFECTIOUS,
M08.29,Juvenile arthritis with systemic onset; Still's disease NOS  site unspecified,ARTHRITIS INFECTIOUS,
M02.99,"Reactive arthropathy, unspecified, site unspecified",ARTHRITIS NONINFECTIOUS,
M05.99,"Seropositive rheumatoid arthritis, unspecified, site unspecified",ARTHRITIS NONINFECTIOUS,
M06.01,"Seronegative rheumatoid arthritis, shoulder region",ARTHRITIS NONINFECTIOUS,
M06.09,"Seronegative rheumatoid arthritis, site unspecified",ARTHRITIS NONINFECTIOUS,
M06.36,"Rheumatoid nodule, lower leg",ARTHRITIS NONINFECTIOUS,
M06.45,"Inflammatory polyarthropathy, pelvic region and thigh",ARTHRITIS NONINFECTIOUS,
M06.49,"Inflammatory polyarthropathy, site unspecified",ARTHRITIS NONINFECTIOUS,
M06.81,"Other specified rheumatoid arthritis, shoulder region",ARTHRITIS NONINFECTIOUS,
M06.86,"Other specified rheumatoid arthritis, lower leg",ARTHRITIS NONINFECTIOUS,
M06.87,"Other specified rheumatoid arthritis, ankle and foot",ARTHRITIS NONINFECTIOUS,
M06.89,"Other specified rheumatoid arthritis, site unspecified",ARTHRITIS NONINFECTIOUS,
M06.90,"Rheumatoid arthritis, unspecified, multiple sites",ARTHRITIS NONINFECTIOUS,
M06.91,"Rheumatoid arthritis, unspecified, shoulder region",ARTHRITIS NONINFECTIOUS,
M06.93,"Rheumatoid arthritis, unspecified, forearm",ARTHRITIS NONINFECTIOUS,
M06.94,"Rheumatoid arthritis, unspecified, hand",ARTHRITIS NONINFECTIOUS,
M06.95,"Rheumatoid arthritis, unspecified, pelvic region and thigh",ARTHRITIS NONINFECTIOUS,
M06.96,"Rheumatoid arthritis, unspecified, lower leg",ARTHRITIS NONINFECTIOUS,
M06.97,"Rheumatoid arthritis, unspecified, ankle and foot",ARTHRITIS NONINFECTIOUS,
M06.98,"Rheumatoid arthritis, unspecified, other sites",ARTHRITIS NONINFECTIOUS,
M06.99,"Rheumatoid arthritis, unspecified, site unspecified",ARTHRITIS NONINFECTIOUS,
M08.06,Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritis with or without rheumatoid factor  lower leg,ARTHRITIS NONINFECTIOUS,
M08.07,Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritis with or without rheumatoid factor  ankle and foot,ARTHRITIS NONINFECTIOUS,
M08.09,Juvenile rheumatoid arthritis; Juvenile rheumatoid arthritis with or without rheumatoid factor  site unspecified,ARTHRITIS NONINFECTIOUS,
M08.19,Juvenile ankylosing spondylitis site unspecified,ARTHRITIS NONINFECTIOUS,
M08.86,Other juvenile arthritis lower leg,ARTHRITIS NONINFECTIOUS,
M08.89,Other juvenile arthritis site unspecified,ARTHRITIS NONINFECTIOUS,
M08.91,"Juvenile arthritis, unspecified shoulder region",ARTHRITIS NONINFECTIOUS,
M08.96,"Juvenile arthritis, unspecified lower leg",ARTHRITIS NONINFECTIOUS,
M08.99,"Juvenile arthritis, unspecified site unspecified",ARTHRITIS NONINFECTIOUS,
M10.00,Idiopathic gout; Gouty bursitis; Primary gout  multiple sites,ARTHRITIS NONINFECTIOUS,
M10.01,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart shoulder region",ARTHRITIS NONINFECTIOUS,
M10.02,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart upper arm",ARTHRITIS NONINFECTIOUS,
M10.03,Idiopathic gout; Gouty bursitis; Primary gout  forearm,ARTHRITIS NONINFECTIOUS,
M10.04,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart hand",ARTHRITIS NONINFECTIOUS,
M10.05,Idiopathic gout; Gouty bursitis; Primary gout;Urate tophus of heart pelvic region and thigh,ARTHRITIS NONINFECTIOUS,
M10.06,Idiopathic gout; Gouty bursitis; Primary gout  lower leg,ARTHRITIS NONINFECTIOUS,
M10.07,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart ankle and foot",ARTHRITIS NONINFECTIOUS,
M10.08,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart other sites",ARTHRITIS NONINFECTIOUS,
M10.09,"Idiopathic gout; Gouty bursitis; Primary gout;
Urate tophus of heart site unspecified",ARTHRITIS NONINFECTIOUS,
M10.10,Lead-induced gout   multiple sites,ARTHRITIS NONINFECTIOUS,
M10.29,Drug-induced gout site unspecified,ARTHRITIS NONINFECTIOUS,
M10.30,Gout due to impairment of renal function multiple sites,ARTHRITIS NONINFECTIOUS,
M10.36,Gout due to impairment of renal function lower leg,ARTHRITIS NONINFECTIOUS,
M10.39,Gout due to impairment of renal function site unspecified,ARTHRITIS NONINFECTIOUS,
M10.40,Other secondary gout multiple sites,ARTHRITIS NONINFECTIOUS,
M10.49,Other secondary gout site unspecified,ARTHRITIS NONINFECTIOUS,
M10.90,"Gout, unspecified multiple sites",ARTHRITIS NONINFECTIOUS,
M10.91,"Gout, unspecified shoulder region",ARTHRITIS NONINFECTIOUS,
M10.92,"Gout, unspecified upper arm",ARTHRITIS NONINFECTIOUS,
M10.93,"Gout, unspecified forearm",ARTHRITIS NONINFECTIOUS,
M10.94,"Gout, unspecified hand",ARTHRITIS NONINFECTIOUS,
M10.96,"Gout, unspecified lower leg",ARTHRITIS NONINFECTIOUS,
M10.97,"Gout, unspecified ankle and foot",ARTHRITIS NONINFECTIOUS,
M10.98,"Gout, unspecified other sites",ARTHRITIS NONINFECTIOUS,
M10.99,"Gout, unspecified site unspecified",ARTHRITIS NONINFECTIOUS,
M11.89,Other specified crystal arthropathies site unspecified,ARTHRITIS NONINFECTIOUS,
M11.90,"Crystal arthropathy, unspecified multiple sites",ARTHRITIS NONINFECTIOUS,
M11.99,"Crystal arthropathy, unspecified site unspecified",ARTHRITIS NONINFECTIOUS,
M12.26,Villonodular synovitis (pigmented) lower leg,ARTHRITIS NONINFECTIOUS,
M12.39,Palindromic rheumatism site unspecified,ARTHRITIS NONINFECTIOUS,
M12.50,Traumatic arthropathy multiple sites,ARTHRITIS NONINFECTIOUS,
M12.52,Traumatic arthropathy upper arm,ARTHRITIS NONINFECTIOUS,
M12.53,Traumatic arthropathy forearm,ARTHRITIS NONINFECTIOUS,
M12.54,Traumatic arthropathy hand,ARTHRITIS NONINFECTIOUS,
M12.55,Traumatic arthropathy pelvic region and thigh,ARTHRITIS NONINFECTIOUS,
M12.56,Traumatic arthropathy lower leg,ARTHRITIS NONINFECTIOUS,
M12.57,Traumatic arthropathy ankle and foot,ARTHRITIS NONINFECTIOUS,
M12.58,Traumatic arthropathy other sites,ARTHRITIS NONINFECTIOUS,
M12.59,Traumatic arthropathy site unspecified,ARTHRITIS NONINFECTIOUS,
M12.86,"Other specific arthropathies, not elsewhere classified; Transient arthropathy  lower leg",ARTHRITIS NONINFECTIOUS,
M12.89,"Other specific arthropathies, not elsewhere classified; Transient arthropathy  site unspecified",ARTHRITIS NONINFECTIOUS,
M13.00,"Polyarthritis, unspecified multiple sites",ARTHRITIS NONINFECTIOUS,
M13.01,"Polyarthritis, unspecified shoulder region",ARTHRITIS NONINFECTIOUS,
M13.02,"Polyarthritis, unspecified upper arm",ARTHRITIS NONINFECTIOUS,
M13.06,"Polyarthritis, unspecified lower leg",ARTHRITIS NONINFECTIOUS,
M13.09,"Polyarthritis, unspecified site unspecified",ARTHRITIS NONINFECTIOUS,
M13.13,"Monoarthritis, not elsewhere classified forearm",ARTHRITIS NONINFECTIOUS,
M13.16,"Monoarthritis, not elsewhere classified lower leg",ARTHRITIS NONINFECTIOUS,
M13.17,"Monoarthritis, not elsewhere classified ankle and foot",ARTHRITIS NONINFECTIOUS,
M13.18,"Monoarthritis, not elsewhere classified other sites",ARTHRITIS NONINFECTIOUS,
M13.80,Other specified arthritis; Allergic arthritis  multiple sites,ARTHRITIS NONINFECTIOUS,
M13.81,Other specified arthritis; Allergic arthritis  shoulder region,ARTHRITIS NONINFECTIOUS,
M13.85,Other specified arthritis; Allergic arthritis  pelvic region and thigh,ARTHRITIS NONINFECTIOUS,
M13.86,Other specified arthritis; Allergic arthritis  lower leg,ARTHRITIS NONINFECTIOUS,
M13.87,Other specified arthritis; Allergic arthritis  ankle and foot,ARTHRITIS NONINFECTIOUS,
M13.88,Other specified arthritis; Allergic arthritis  other sites,ARTHRITIS NONINFECTIOUS,
M13.89,Other specified arthritis; Allergic arthritis  site unspecified,ARTHRITIS NONINFECTIOUS,
M13.90,"Arthritis, unspecified; Arthropathy NOS multiple sites",ARTHRITIS NONINFECTIOUS,
M13.91,"Arthritis, unspecified; Arthropathy NOS shoulder region",ARTHRITIS NONINFECTIOUS,
M13.92,"Arthritis, unspecified; Arthropathy NOS upper arm",ARTHRITIS NONINFECTIOUS,
M13.93,"Arthritis, unspecified; Arthropathy NOS forearm",ARTHRITIS NONINFECTIOUS,
M13.94,"Arthritis, unspecified; Arthropathy NOS hand",ARTHRITIS NONINFECTIOUS,
M13.95,"Arthritis, unspecified; Arthropathy NOS pelvic region and thigh",ARTHRITIS NONINFECTIOUS,
M13.96,"Arthritis, unspecified; Arthropathy NOS lower leg",ARTHRITIS NONINFECTIOUS,
M13.97,"Arthritis, unspecified; Arthropathy NOS ankle and foot",ARTHRITIS NONINFECTIOUS,
M13.98,"Arthritis, unspecified; Arthropathy NOS other sites",ARTHRITIS NONINFECTIOUS,
M13.99,"Arthritis, unspecified; Arthropathy NOS site unspecified",ARTHRITIS NONINFECTIOUS,
A92.0,Chikungunya virus disease; Chikungunya (haemorrhagic) fever,ARTHROPOD BORNE VIRAL FEVER,
A92.1,O'nyong-nyong fever,ARTHROPOD BORNE VIRAL FEVER,
A92.2,Venezuelan equine fever;  Venezuelan equine encephalitis;  Venezuelan encephalomyelitis virus disease,ARTHROPOD BORNE VIRAL FEVER,
A92.8,Other specified mosquito-borne viral fevers,ARTHROPOD BORNE VIRAL FEVER,
A93.1,Sandfly fever; Pappataci fever; Phlebotomus fever,ARTHROPOD BORNE VIRAL FEVER,
A93.8,Other specified arthropod-borne viral fevers; Piry virus disease; Severe fever with thrombocytopenia syndrome [SFTS]; Vesicular stomatitis virus disease [Indiana fever],ARTHROPOD BORNE VIRAL FEVER,
A94,"Unspecified arthropod-borne viral fever; Unspecified arthropod-borne viral fever; Arboviral fever NOS; Arbovirus infection NOS
Acute hemorrhagic fever",ARTHROPOD BORNE VIRAL FEVER,
M15.0,Primary generalized (osteo)arthrosis,ARTHROSIS,
M15.2,Bouchard's nodes (with arthropathy),ARTHROSIS,
M15.3,Secondary multiple arthrosis; Post-traumatic polyarthrosis,ARTHROSIS,
M15.4,Erosive (osteo)arthrosis,ARTHROSIS,
M15.8,Other polyarthrosis,ARTHROSIS,
M15.9,"Polyarthrosis, unspecified; Generalized osteoarthritis NOS",ARTHROSIS,
M16.0,"Primary coxarthrosis, bilateral",ARTHROSIS,
M16.1,Other primary coxarthrosis; Primary coxarthrosis NOS; Primary coxarthrosis unilateral,ARTHROSIS,
M16.2,"Coxarthrosis resulting from dysplasia, bilateral",ARTHROSIS,
M16.3,Other dysplastic coxarthrosis; Dysplastic coxarthrosis NOS; Dysplastic coxarthrosis unilateral,ARTHROSIS,
