CODE,DIAGNOSIS,ACR group,ICD 10 Chapter Number,ICD 10 chapter description,ICD 10 block,NOTES
A02+M49.21*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, OCCIPITO-ATLANTO-AXIAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.22*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, CERVICAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.23*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, CERVICOTHORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.24*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, THORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.25*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, THORACOLUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.26*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, LUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.27*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, LUMBOSACRAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.28*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, SACRAL AND SACROCOCCYGEAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A02+M49.29*,"ENTEROBACTERIAL SPONDYLITIS IN OTHER SALMONELLA INFECTIONS, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.0,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE  ( GROUP A SHIGELLOSIS [SHIGA-KRUSE DYSENTERY]); SCHMITZ(-STUTZER) DYSENTERY,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.1,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI  (GROUP B SHIGELLOSIS),ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.2,SHIGELLOSIS DUE TO SHIGELLA BOYDII (GROUP C SHIGELLLOSIS); BOYD'S DYSENTERY,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.3,SHIGELLOSIS DUE TO SHIGELLA SONNEI (GROUP D SHIGELLOSIS),ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.8,OTHER SHIGELLOSIS,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03.9,"SHIGELLOSIS, UNSPECIFIED (BACILLARY DYSENTERY, NOS)",ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+G53.1*,MULTIPLE CRANIAL NERVE PALSIES IN SHIGELLOSIS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+G94.0*,HYDROCEPHALUS IN SHIGELLOSIS,,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.20*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, MULTIPLE SITES",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.21*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, OCCIPITO-ATLANTO-AXIAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.22*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, CERVICAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.23*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, CERVICOTHORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.24*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, THORACIC REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.25*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, THORACOLUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.26*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, LUMBAR REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.27*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, LUMBOSACRAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.28*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, SACRAL AND SACROCOCCYGEAL REGION",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A03+M49.29*,"ENTEROBACTERIAL SPONDYLITIS IN SHIGELLOSIS, SITE UNSPECIFIED",,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A04.0,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A04.1,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A04.2,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
A04.3,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,ACUTE GASTROENTERITIS,1,Certain infectious and parasitic diseases,Intestinal Infectious disease,1
